timestamp ba_x ba_y ba_z bg_x bg_y bg_z
494.056000 0.67782105 0.04307645 0.02706998 -0.00181483 0.00173431 0.00183518
495.240000 0.67942111 0.04109781 0.02728827 -0.00186030 0.00173989 0.00185047
496.248000 0.67788904 0.04004804 0.02717569 -0.00188346 0.00175373 0.00186542
497.572000 0.67337764 0.04142556 0.02675547 -0.00194044 0.00177692 0.00181238
497.864000 0.67068713 0.04082022 0.02656299 -0.00194368 0.00178788 0.00176906
498.688000 0.66852378 0.03727257 0.02638242 -0.00198086 0.00179618 0.00176072
499.564000 0.66568369 0.03388881 0.02619142 -0.00197021 0.00180657 0.00176477
499.968000 0.66328172 0.03374602 0.02605800 -0.00197726 0.00181589 0.00176401
500.460000 0.66123528 0.03326001 0.02584003 -0.00199005 0.00182568 0.00176166
500.668000 0.66015295 0.03309738 0.02580363 -0.00200087 0.00183157 0.00176010
502.032000 0.65973786 0.02911518 0.02573920 -0.00202164 0.00185048 0.00179612
502.660000 0.65919241 0.02798089 0.02571033 -0.00204088 0.00186217 0.00186195
503.320000 0.65726343 0.03135948 0.02558217 -0.00204623 0.00186430 0.00188069
504.272000 0.65697523 0.03066430 0.02547304 -0.00206159 0.00187145 0.00189331
504.548000 0.65719466 0.03046387 0.02549088 -0.00207087 0.00187064 0.00190497
505.192000 0.62779823 0.03465037 0.02293550 -0.00204980 0.00188798 0.00188643
505.756000 0.62145957 0.01202879 0.02231639 -0.00204492 0.00188867 0.00188041
506.360000 0.59946931 0.01824366 0.02053390 -0.00203053 0.00189398 0.00186554
506.652000 0.58810340 0.01128463 0.01956298 -0.00202575 0.00189650 0.00185891
507.132000 0.56552219 0.23944233 0.02026247 -0.00200339 0.00191890 0.00183587
507.652000 0.22028321 0.00621437 -0.00994560 -0.00192583 0.00193593 0.00187022
508.096000 0.13694420 0.00072815 -0.01645573 -0.00189333 0.00191854 0.00185880
508.568000 0.12493699 0.00467159 -0.01708662 -0.00187677 0.00188928 0.00184999
508.892000 0.11861489 0.00419984 -0.01755013 -0.00190595 0.00189018 0.00184531
509.184000 0.11970447 0.00450750 -0.01722257 -0.00190973 0.00189917 0.00186080
509.648000 0.11613553 0.00269241 -0.01738132 -0.00192646 0.00190424 0.00183174
510.088000 0.11763736 0.00295422 -0.01704736 -0.00191550 0.00190491 0.00181670
510.360000 0.11809135 0.00293811 -0.01686426 -0.00190825 0.00190473 0.00181881
510.580000 0.11728654 0.00241834 -0.01685756 -0.00191527 0.00190739 0.00183057
510.756000 0.11701910 0.00182184 -0.01671107 -0.00190516 0.00190921 0.00183257
511.224000 0.11949526 0.00229660 -0.01628611 -0.00190482 0.00191024 0.00183312
511.428000 0.12102805 0.00269768 -0.01588730 -0.00192137 0.00191679 0.00186328
511.852000 0.11968044 0.00244030 -0.01590558 -0.00192692 0.00192830 0.00190370
512.072000 0.12063284 0.00249148 -0.01576521 -0.00192768 0.00192949 0.00191077
512.528000 0.12074793 0.00225260 -0.01564265 -0.00192060 0.00193547 0.00193166
512.912000 0.12111509 0.00224333 -0.01549355 -0.00192788 0.00194270 0.00192575
513.156000 0.12107601 0.00212373 -0.01539590 -0.00193412 0.00194814 0.00191575
513.428000 0.12166358 0.00224036 -0.01526596 -0.00193313 0.00195317 0.00192723
513.680000 0.12242394 0.00203206 -0.01503434 -0.00192790 0.00195338 0.00193520
513.960000 0.12370201 0.00226184 -0.01477680 -0.00194187 0.00195385 0.00196158
514.108000 0.12323292 0.00180202 -0.01476685 -0.00194163 0.00195759 0.00201816
514.592000 0.12489722 0.00243757 -0.01458814 -0.00193337 0.00195983 0.00202817
